序号,标题,链接,时长
69,81. 和李开复聊聊：如果美国形成AGI霸权，我们应该怎么办？,https://www.youtube.com/watch?v=fZB74w6jg7U,5947秒
70,80. 和知乎周源聊，社会化编辑部、孤独的悖论、AI与宿命,https://www.youtube.com/watch?v=pYR5Y6hgSKY,4849秒
71,79. 特斯拉股价跌了，Uber却涨了？漫谈特斯拉Robotaxi大会,https://www.youtube.com/watch?v=_nqR-T5tl-M,3530秒
72,78. 从蒸汽机到无人驾驶5｜谈谈自动驾驶创投过山车这8年,https://www.youtube.com/watch?v=pd0sFo0s_7Y,4493秒
73,77. 并购重组会兴起吗？和陆复斌聊他隐蔽做全球并购这5年,https://www.youtube.com/watch?v=AcAHo3dijPc,5656秒
74,76. 王小川返场谈o1与强化学习：摸到了一条从快思考走向慢思考的路,https://www.youtube.com/watch?v=GNWkGeCwT4s,2345秒
75,75. 和OpenAI前研究员吴翼解读o1：吹响了开挖第二座金矿的号角,https://www.youtube.com/watch?v=8fDHQAVWInI,4451秒
76,74. 从蒸汽机到无人驾驶4｜Waymo和它的对手们：我暗中考察了四个月,https://www.youtube.com/watch?v=P570E0a1Sg4,4424秒
77,73. AGI范式大转移：和广密预言草莓、OpenAI o1和self-play RL｜全球大模型季报4,https://www.youtube.com/watch?v=36YGSInEKyA,5222秒
78,72. 从蒸汽机到无人驾驶3｜和孟醒聊特斯拉FSD进化史,https://www.youtube.com/watch?v=uTj7nDasNGg,5463秒
79,71. 和楼天城聊聊Robotaxi和ACRush：“L2做得越厉害，离L4越远”,https://www.youtube.com/watch?v=th46JjuTQos,3619秒
80,70. 和何小鹏聊，FSD、“在血海游泳”、乱世中的英雄与狗熊,https://www.youtube.com/watch?v=OVN9fWn4bJ4,5249秒
81,69. 口述全球大模型这半年：Perplexity突然火爆和尚未爆发的AI应用生态,https://www.youtube.com/watch?v=OzvgUwDWXKQ,4004秒
82,68. 和MiniMax天使投资人聊，MiniMax幕后故事和大模型资本扑克牌,https://www.youtube.com/watch?v=Fzr8XV33t9I,3764秒
83,67. 谈谈黄仁勋搭建的组织系统：分布式操作系统，“就像一台GPU”,https://www.youtube.com/watch?v=2L-0EXsVAVM,4496秒
84,66. 和李志飞聊IPO、GPT-4o和你不知道的前沿科技创业的痛,https://www.youtube.com/watch?v=ReJaFJO4JDY,5359秒
85,65. 风险投资的钥匙失灵了吗？和梦秋聊：蛰伏、更少人的游戏和啮齿动物,https://www.youtube.com/watch?v=IYVkV2t3g14,4619秒
86,64. 和广密聊AGI大基建时代：电+芯片=产出智能,https://www.youtube.com/watch?v=uwyX5ezh_-A,4916秒
87,63. 商业口述史：中资到海外买买买的大时代，以430亿美元并购先正达为最高潮,https://www.youtube.com/watch?v=rHqcCi__Dlc,6230秒
88,62. 你们要的朱啸虎，来了,https://www.youtube.com/watch?v=EY2zQENg-RI,3135秒
89,61. 和王小川聊再创业这一年：回应朱啸虎与中国AGI第三种可能,https://www.youtube.com/watch?v=M1ywnxxH5sw,5493秒
90,60. 与戴雨森和季逸超聊，一幅Sora的信息拼图和大模型淘汰赛,https://www.youtube.com/watch?v=I5asIq_vpHs,5956秒
